trial_id,sentence_id,sentence,inclusion
3,31,"Participants on any antihyperglycemic agents (AHAs) other than metformin, or injectable insulin within 8 weeks of the first dose of study drug (that is Day 1) ",0
3,32,"Repeated (2 or more over a 1-week period) fasting self-monitoring of blood glucose (SMBG) measurements >270 milligram/deciliter (mg/dL) (>15 millimole/liter [mmol/L]) during the pretreatment phase, despite reinforcement of diet and exercise counseling ",0
3,33,Severe hypoglycemia within 6 months prior to Day 1 ,0
3,34,History of hereditary glucose-galactose malabsorption or primary renal glucosuria ,0
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0
4,36,"Male or female, aged between 18 and 72 years (both inclusive) at the time of signing informed consent. ",1
4,37,Body mass index between 18.5 and 37.9 kg/m^2 (both inclusive). ,1
4,38,Diagnosed with type 2 diabetes mellitus greater than or equal to 180 days prior to the day of screening. ,1
4,39,Glycosylated haemoglobin type A1c (HbA1c) less than or equal to 9.0% (less than or equal to 74 mmol/mol) at screening. ,1
4,40,Current total daily insulin treatment between 0.2 and 1.0 U/kg/day (both inclusive). ,1
4,41,Known or suspected hypersensitivity to trial products or related products. ,0
4,42,"Female who is pregnant, breast-feeding or intends to become pregnant or is of child-bearing potential and not using an adequate contraceptive method. ",0
4,43,"Presence or history of any clinically relevant respiratory, metabolic, renal, hepatic, gastrointestinal, endocrinological conditions (except conditions associated with diabetes mellitus).",0
5,44,"Patients who are participating (or who have participated) in qualifying studies and who have not been required to discontinue study treatment for protocol or safety reasons and who have completed required End-of-Treatment and/or Follow-up visits in a prior clinical study with bardoxolone methyl and who, according to the assessment of the investigator, have a potential positive benefit-risk assessment for participating in the trial. ",1
5,45,"Meets the following eligibility criteria based on assessments from the prior qualifying study (last on-treatment visit) or from a screening visit, if applicable: 1. Not expected to reach end stage kidney disease (ESKD) or nephrotic syndrome within 12 weeks of study enrollment, in the investigator's judgement; subjects with eGFR <20 ml/min/1.73m2 should be discussed with the medical monitor before enrollment (e.g., such subjects with an average rate of eGFR decline > 1.0 ml/min/1.73m2 per month in the 3 months prior to eligibility assessment may not be eligible); 2. BNP < 200 pg/mL at the last on-treatment visit in the prior qualifying study or at a new screening visit, if applicable; 3. No occurrence of a cardiovascular serious adverse event in the prior qualifying study or in the interval between the end of the qualifying study and the screening visit, if applicable. ",1
5,46,"Willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures. ",1
5,47,Evidence of a personally signed and dated informed consent document (and assent form if necessary) indicating that the patient (or a legally acceptable representative) has been informed of all pertinent aspects of the study prior to initiation of any protocol-mandated procedures. ,1
5,48,Participation in other investigational clinical studies involving interventional products being tested or used in a way different from the approved form or when used for an unapproved indication; ,0
5,49,Patients who have an ongoing SAE from a clinical study that is assessed by the investigator as related to bardoxolone methyl; ,0
5,50,"Unwilling to practice acceptable methods of birth control (both males who have partners of childbearing potential and females of childbearing potential) while screening, taking study drug and 30 days after the last study drug dose; ",0
5,51,Women who are pregnant or breastfeeding; ,0
5,52,"Patient is, in the opinion of the investigator, unable to comply with the requirements of the study protocol or is unsuitable for the study for any reason; ",0
5,53,Known hypersensitivity to any component of the study drug.,0
