trial_id,sentence_id,sentence,inclusion,ent_text,ent_type
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,creatinine,TEST
1,10,"Patient has severe liver or kidney disease,alanine aminotransferase >2×UNL, Aspartate Aminotransferase >2×upper normal limit(UNL)；total bilirubin >2×UNL； creatinine>1.5 mg/dL (Male,132.6μmol/L) ，>1.4 mg/dL(Female，123.8μmol/L) ",0,"Male,132.6μmol",TEST
1,11,"Patient has severe chronic gastrointestinal disease or therapy that may affect drug absorption, such as gastrointestinal surgery ",0,severe chronic gastrointestinal disease,PROBLEM
1,11,"Patient has severe chronic gastrointestinal disease or therapy that may affect drug absorption, such as gastrointestinal surgery ",0,therapy,TREATMENT
1,11,"Patient has severe chronic gastrointestinal disease or therapy that may affect drug absorption, such as gastrointestinal surgery ",0,drug absorption,PROBLEM
1,11,"Patient has severe chronic gastrointestinal disease or therapy that may affect drug absorption, such as gastrointestinal surgery ",0,gastrointestinal surgery,TREATMENT
1,12,Patient has severe haematological diseases or other diseases leading to hemolyze and red blood cell unstable (malaria、haemolytic anaemia eg. ) ,0,severe haematological diseases,PROBLEM
1,12,Patient has severe haematological diseases or other diseases leading to hemolyze and red blood cell unstable (malaria、haemolytic anaemia eg. ) ,0,other diseases,PROBLEM
1,12,Patient has severe haematological diseases or other diseases leading to hemolyze and red blood cell unstable (malaria、haemolytic anaemia eg. ) ,0,hemolyze,TEST
1,12,Patient has severe haematological diseases or other diseases leading to hemolyze and red blood cell unstable (malaria、haemolytic anaemia eg. ) ,0,red blood cell unstable (malaria、haemolytic anaemia eg.,PROBLEM
1,13,"Patient has other endocrine diseases, for example hyperthyroidism、hypothyroidism、hypercortisolism、multiple endocrine neoplasia and so on ",0,other endocrine diseases,PROBLEM
1,13,"Patient has other endocrine diseases, for example hyperthyroidism、hypothyroidism、hypercortisolism、multiple endocrine neoplasia and so on ",0,example hyperthyroidism,PROBLEM
1,13,"Patient has other endocrine diseases, for example hyperthyroidism、hypothyroidism、hypercortisolism、multiple endocrine neoplasia and so on ",0,、hypothyroidism,PROBLEM
1,13,"Patient has other endocrine diseases, for example hyperthyroidism、hypothyroidism、hypercortisolism、multiple endocrine neoplasia and so on ",0,、hypercortisolism,PROBLEM
1,13,"Patient has other endocrine diseases, for example hyperthyroidism、hypothyroidism、hypercortisolism、multiple endocrine neoplasia and so on ",0,、multiple endocrine neoplasia,PROBLEM
1,14,Patient has history of malignancy ,0,malignancy,PROBLEM
1,15,Patient has history of alcohol or drug abuse,0,,
2,16,"males and females of any race and ethnicity with T2DM, HbA1c of ≥6.5% and ≤10.0% on diet only ",1,T2DM,PROBLEM
2,16,"males and females of any race and ethnicity with T2DM, HbA1c of ≥6.5% and ≤10.0% on diet only ",1,HbA1c,TEST
2,16,"males and females of any race and ethnicity with T2DM, HbA1c of ≥6.5% and ≤10.0% on diet only ",1,≥,TEST
2,16,"males and females of any race and ethnicity with T2DM, HbA1c of ≥6.5% and ≤10.0% on diet only ",1,≤,TEST
2,17,take stable doses of oral antihyperglycemic agents with or without long-acting insulin ,1,oral antihyperglycemic agents,TREATMENT
2,17,take stable doses of oral antihyperglycemic agents with or without long-acting insulin ,1,long-acting insulin,TREATMENT
2,18,must have a regular primary care provider (PCP) that is amenable to patient study participation and will facilitate (blinded to the treatment) the research team's study protocol efforts ,1,,
2,19,type 1 diabetes mellitus (T1DM) ,0,type 1 diabetes mellitus (T1DM),PROBLEM
2,20,current or recent glucagon-like peptide 1 receptor (GLP-1R) agonist use ,0,recent glucagon-like peptide,TREATMENT
2,21,"contraindications to MRI (e.g., claustrophobia, ferromagnetic materials, body habitus inappropriate for MRI exam) ",0,MRI,TEST
2,21,"contraindications to MRI (e.g., claustrophobia, ferromagnetic materials, body habitus inappropriate for MRI exam) ",0,claustrophobia,PROBLEM
2,21,"contraindications to MRI (e.g., claustrophobia, ferromagnetic materials, body habitus inappropriate for MRI exam) ",0,body habitus,TEST
2,21,"contraindications to MRI (e.g., claustrophobia, ferromagnetic materials, body habitus inappropriate for MRI exam) ",0,MRI exam,TEST
2,22,"screening carotid ultrasound plaque thickness of <0.75 mm, prior or anticipated carotid stenting or endarterectomy ",0,screening carotid ultrasound plaque thickness,TEST
2,22,"screening carotid ultrasound plaque thickness of <0.75 mm, prior or anticipated carotid stenting or endarterectomy ",0,anticipated carotid stenting,TREATMENT
2,22,"screening carotid ultrasound plaque thickness of <0.75 mm, prior or anticipated carotid stenting or endarterectomy ",0,endarterectomy,TREATMENT
2,23,"recent CVD (past 6 months) or other major illness or conditions affecting risk (e.g., pancreatitis, severe renal disease) or personal or family history of medullary thyroid carcinoma ",0,recent CVD,PROBLEM
2,23,"recent CVD (past 6 months) or other major illness or conditions affecting risk (e.g., pancreatitis, severe renal disease) or personal or family history of medullary thyroid carcinoma ",0,other major illness,PROBLEM
2,23,"recent CVD (past 6 months) or other major illness or conditions affecting risk (e.g., pancreatitis, severe renal disease) or personal or family history of medullary thyroid carcinoma ",0,pancreatitis,PROBLEM
2,23,"recent CVD (past 6 months) or other major illness or conditions affecting risk (e.g., pancreatitis, severe renal disease) or personal or family history of medullary thyroid carcinoma ",0,severe renal disease,PROBLEM
2,23,"recent CVD (past 6 months) or other major illness or conditions affecting risk (e.g., pancreatitis, severe renal disease) or personal or family history of medullary thyroid carcinoma ",0,medullary thyroid carcinoma,PROBLEM
2,24,patients with Multiple Endocrine Neoplasia syndrome type 2 ,0,Multiple Endocrine Neoplasia syndrome type 2,PROBLEM
2,25,serious hypersensitivity to exenatide or any product components ,0,serious hypersensitivity,PROBLEM
2,25,serious hypersensitivity to exenatide or any product components ,0,exenatide,TREATMENT
2,25,serious hypersensitivity to exenatide or any product components ,0,any product components,PROBLEM
2,26,"severe gastrointestinal disease, or pregnancy",0,severe gastrointestinal disease,PROBLEM
2,26,"severe gastrointestinal disease, or pregnancy",0,pregnancy,PROBLEM
3,27,Participants with a diagnosis of type 2 diabetes mellitus (T2DM) ,1,type 2 diabetes mellitus,PROBLEM
3,27,Participants with a diagnosis of type 2 diabetes mellitus (T2DM) ,1,T2DM,PROBLEM
3,28,Random C-peptide at screening greater than (>)0.6 nanogram/milliliter (ng/mL) (>0.2 nanomole/liter [nmol]/L]) ,1,Random C-peptide at screening,TEST
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,HbA1c,TEST
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,screening,TEST
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,exercise,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,metformin monotherapy,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,screening,TEST
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,exercise,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,a stable insulin monotherapy regimen,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,screening,TEST
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,the insulin regimen,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,insulin,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,the total daily dose of insulin,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,exercise,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,a stable combination therapy,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,metformin,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,insulin,TREATMENT
3,29,"HbA1c of greater than or equal to (>=)6.5 percent (%) to less than or equal to (<=)11.0% and meets 1 of the inclusion criteria below: 1. On diet and exercise only for at least 4 weeks prior to screening 2. On diet and exercise and a stable dose of metformin monotherapy >=1,000 mg per day or MTD per day for at least 8 weeks prior to screening 3. On diet and exercise and a stable insulin monotherapy regimen for at least 8 weeks prior to screening (stable dose is defined as no change in the insulin regimen [ie, type{s} of insulin] and <=15% change in the total daily dose of insulin [averaged over 1 week to account for day to day variability]) 4. On diet and exercise and a stable combination therapy with metformin and insulin for at least 8 weeks prior to screening ",1,screening,TEST
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,diabetic ketoacidosis,PROBLEM
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,DKA,PROBLEM
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,type 1 diabetes mellitus,PROBLEM
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,T1DM),PROBLEM
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,pancreas or cell transplantation,TREATMENT
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,diabetes,PROBLEM
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,pancreatitis,PROBLEM
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,pancreatectomy,TREATMENT
3,30,"History of diabetic ketoacidosis (DKA), type 1 diabetes mellitus (T1DM), pancreas or cell transplantation, or diabetes secondary to pancreatitis or pancreatectomy or maturity onset diabetes of the young (MODY) ",0,maturity onset diabetes of the young (MODY),PROBLEM
3,31,"Participants on any antihyperglycemic agents (AHAs) other than metformin, or injectable insulin within 8 weeks of the first dose of study drug (that is Day 1) ",0,any antihyperglycemic agents,TREATMENT
3,31,"Participants on any antihyperglycemic agents (AHAs) other than metformin, or injectable insulin within 8 weeks of the first dose of study drug (that is Day 1) ",0,metformin,TREATMENT
3,31,"Participants on any antihyperglycemic agents (AHAs) other than metformin, or injectable insulin within 8 weeks of the first dose of study drug (that is Day 1) ",0,injectable insulin,TREATMENT
3,31,"Participants on any antihyperglycemic agents (AHAs) other than metformin, or injectable insulin within 8 weeks of the first dose of study drug (that is Day 1) ",0,study drug,TREATMENT
3,32,"Repeated (2 or more over a 1-week period) fasting self-monitoring of blood glucose (SMBG) measurements >270 milligram/deciliter (mg/dL) (>15 millimole/liter [mmol/L]) during the pretreatment phase, despite reinforcement of diet and exercise counseling ",0,blood glucose,TEST
3,32,"Repeated (2 or more over a 1-week period) fasting self-monitoring of blood glucose (SMBG) measurements >270 milligram/deciliter (mg/dL) (>15 millimole/liter [mmol/L]) during the pretreatment phase, despite reinforcement of diet and exercise counseling ",0,SMBG,TEST
3,32,"Repeated (2 or more over a 1-week period) fasting self-monitoring of blood glucose (SMBG) measurements >270 milligram/deciliter (mg/dL) (>15 millimole/liter [mmol/L]) during the pretreatment phase, despite reinforcement of diet and exercise counseling ",0,the pretreatment phase,TREATMENT
3,32,"Repeated (2 or more over a 1-week period) fasting self-monitoring of blood glucose (SMBG) measurements >270 milligram/deciliter (mg/dL) (>15 millimole/liter [mmol/L]) during the pretreatment phase, despite reinforcement of diet and exercise counseling ",0,exercise counseling,TREATMENT
3,33,Severe hypoglycemia within 6 months prior to Day 1 ,0,Severe hypoglycemia,PROBLEM
3,34,History of hereditary glucose-galactose malabsorption or primary renal glucosuria ,0,hereditary glucose-galactose malabsorption,PROBLEM
3,34,History of hereditary glucose-galactose malabsorption or primary renal glucosuria ,0,primary renal glucosuria,PROBLEM
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,Alanine aminotransferase level,TEST
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,ULN,TEST
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,total bilirubin,TEST
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,the ULN at screening,TEST
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,elevations in bilirubin,PROBLEM
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,the elevation in bilirubin,PROBLEM
3,35,"Alanine aminotransferase level >5.0 times the upper limit of normal (ULN) or total bilirubin >1.5 times the ULN at screening (for elevations in bilirubin: if, in the opinion of the investigator and agreed upon by the sponsor's medical officer, the elevation in bilirubin is consistent with Gilbert's disease, the subject may participate)",0,Gilbert's disease,PROBLEM
4,36,"Male or female, aged between 18 and 72 years (both inclusive) at the time of signing informed consent. ",1,,
4,37,Body mass index between 18.5 and 37.9 kg/m^2 (both inclusive). ,1,Body mass index,TEST
4,38,Diagnosed with type 2 diabetes mellitus greater than or equal to 180 days prior to the day of screening. ,1,type 2 diabetes mellitus,PROBLEM
4,38,Diagnosed with type 2 diabetes mellitus greater than or equal to 180 days prior to the day of screening. ,1,screening,TEST
4,39,Glycosylated haemoglobin type A1c (HbA1c) less than or equal to 9.0% (less than or equal to 74 mmol/mol) at screening. ,1,Glycosylated haemoglobin type A1c,TEST
4,39,Glycosylated haemoglobin type A1c (HbA1c) less than or equal to 9.0% (less than or equal to 74 mmol/mol) at screening. ,1,HbA1c,TEST
4,39,Glycosylated haemoglobin type A1c (HbA1c) less than or equal to 9.0% (less than or equal to 74 mmol/mol) at screening. ,1,screening,TEST
4,40,Current total daily insulin treatment between 0.2 and 1.0 U/kg/day (both inclusive). ,1,Current total daily insulin treatment,TREATMENT
4,41,Known or suspected hypersensitivity to trial products or related products. ,0,hypersensitivity,PROBLEM
4,41,Known or suspected hypersensitivity to trial products or related products. ,0,trial products,TREATMENT
4,42,"Female who is pregnant, breast-feeding or intends to become pregnant or is of child-bearing potential and not using an adequate contraceptive method. ",0,an adequate contraceptive method,TREATMENT
